School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
California,Univ Calif Berkeley,BUS ADM X421,INTERMEDIATE ACCOUNTING I,MGMT 4270,INTERMEDIATE ACCOUNTING I,3.0
Massachusetts,Babson College,ACC 3500,INTERMEDIATE ACCOUNTING I,MGMT 4270,INTERMEDIATE ACCOUNTING I,4.0
New York,College of Saint Rose,ACC 221,INTERMEDIATE ACCOUNTING,MGMT 4270,INTERMEDIATE ACCOUNTING I,3.0
North Dakota,Un N Dakota Grnd Frk,ACCT 301,INTERMEDIATE ACCOUNTING I,MGMT 4270,INTERMEDIATE ACCOUNTING I,3.0
