School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
California,Citrus Coll,PSY 212,ABNORMAL PSYCHOLOGY,PSYC 4720,ABNORMAL PSYCHOLOGY,3.0
Colorado,Univ Nthrn Colorado,PSY 255,ABNORMAL PSYCHOLOGY,PSYC 4720,ABNORMAL PSYCHOLOGY,3.0
Connecticut,Centrl Conn St Univ,PSY 330,ABNORMAL PSYCHOLOGY,PSYC 4720,ABNORMAL PSYCHOLOGY,3.0
Connecticut,Trinity College Ct,PSYC 273,ABNORMAL PSYCHOLOGY,PSYC 4720,ABNORMAL PSYCHOLOGY,3.0
Connecticut,University of Hartford,PSY 262,ABNORMAL PSYCHOLOGY,PSYC 4720,ABNORMAL PSYCHOLOGY,3.0
Delaware,University of Delaware,PSYC 334,ABNORMAL PSYCHOLOGY,PSYC 4720,ABNORMAL PSYCHOLOGY,3.0
Florida,St Petersburg Jr Col,CLP 2140,ABNORMAL PSYCHOLOGY,PSYC 4720,ABNORMAL PSYCHOLOGY,
Illinois,Northestrn Ill Univ,PSYC 340,ABNORMAL PSYCHOLOGY,PSYC 4720,ABNORMAL PSYCHOLOGY,3.0
Maine,University Maine,PSY 312,ABNORMAL PSYCHOLOGY,PSYC 4720,ABNORMAL PSYCHOLOGY,3.0
Massachusetts,Bentley University,PS 388,ABNORMAL PSYCHOLOGY,PSYC 4720,ABNORMAL PSYCHOLOGY,3.0
Massachusetts,Middlesex C C Ma,PSY 150,ABNORMAL PSYCHOLOGY,PSYC 4720,ABNORMAL PSYCHOLOGY,3.0
Massachusetts,Northern Essex C C,PSY 207,ABNORMAL PSYC,PSYC 4720,ABNORMAL PSYCHOLOGY,3.0
New Jersey,Drew University,PSYC 108,ABNORMAL PSYCHOLOGY,PSYC 4720,ABNORMAL PSYCHOLOGY,4.0
New York,Eugene Lang College,LPSY 2008,FUND OF ABNORMAL PSYCHOLOGY,PSYC 4720,ABNORMAL PSYCHOLOGY,4.0
New York,New York City Tech C,PSY 2403,ABNORMAL PSYCHOLOGY,PSYC 4720,ABNORMAL PSYCHOLOGY,3.0
New York,SUNY Geneseo,PSYC 260,ABNORMAL PSYCHOLOGY,PSYC 4720,ABNORMAL PSYCHOLOGY,3.0
New York,Union College NY,PSY 250,ABNORMAL PSYCHOLOGY,PSYC 4720,ABNORMAL PSYCHOLOGY,3.0
UNITED KINGDOM,Swansea University,PSA 114,INTRO TO INDIV & ABNORMAL PSYC,PSYC 4720,ABNORMAL PSYCHOLOGY,3.0
