School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
AUSTRALIA,Queensland University of Tech.,AMB 220.1,ADVERTISING THEORY & PRACTICE,MGMT 4490,ADV STRAT & PROMOTIONS,4.0
GERMANY,Wissenschaftliche Hochschule U,"MGMT 3
AND MGMT 4","BRAND MANAGEMENT
AND MARKETING COMMUNICATION",MGMT 4490,ADV STRAT & PROMOTIONS,4.0
ITALY,Bocconi University,6176 6176,MARKETING COMMUNICATION,MGMT 4490,ADV STRAT & PROMOTIONS,3.0
New York,College of Saint Rose,BUS 376,ADVERTIS & PROMO MGMT,MGMT 4490,ADV STRAT & PROMOTIONS,3.0
New York,Russell Sage College,BUS 304,ADVERTISING AND PROMOTION,MGMT 4490,ADV STRAT & PROMOTIONS,3.0
SINGAPORE,Nanyang Tech. Univ.,BM 210,STRATEGIC BRAND MANAGEMENT,MGMT 4490,ADV STRAT & PROMOTIONS,4.0
