School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
Illinois,Knox College,PHYS 313,CLASSICAL ELECTROMAGNETISM,PHYS 4000,PHYSICS ELECTIVE,4.0
Maine,Univ Southern Maine,PHY 341,QUANTUM MECHANICS,PHYS 4000,PHYSICS ELECTIVE,3.0
New York,SUNY Albany,PHY 450,QUANTUM PHYSICS II,PHYS 4000,PHYSICS ELECTIVE,3.0
New York,SUNY Albany,PHY 462,PHYSICS OF MATERIALS,PHYS 4000,PHYSICS ELECTIVE,3.0
New York,SUNY Coll Cortland,"PHY 420
AND PHY 422","CLASSICAL MECHANICS
AND APPLIED MECHANICS",PHYS 4000,PHYSICS ELECTIVE,4.0
New York,SUNY Coll Cortland,"PHY 440
AND PHY 450","ELETRONICS I: CIR ELEM & DEV
AND ELECTRICITY & MAGNETISM",PHYS 4000,PHYSICS ELECTIVE,4.0
New York,SUNY Coll Cortland,PHY 576,PHYSICS OF RENEWABLE ENERGY,PHYS 4000,PHYSICS ELECTIVE,4.0
New York,SUNY Coll Fredonia,PHYS 425,MATHEMATICAL PHYSICS I,PHYS 4000,PHYSICS ELECTIVE,3.0
New York,SUNY Oneonta,PHYS 318,INTRO TO SOLID STATE PHYSICS,PHYS 4000,PHYSICS ELECTIVE,3.0
New York,SUNY Oneonta,PHYS 320,THERMODYNAMICS,PHYS 4000,PHYSICS ELECTIVE,3.0
New York,SUNY Oneonta,PHYS 333,INTER ELECT-MAGNETISM I,PHYS 4000,PHYSICS ELECTIVE,3.0
New York,SUNY Oneonta,PHYS 335,ELECTRONICS/CIRCUITS I,PHYS 4000,PHYSICS ELECTIVE,4.0
New York,SUNY Oneonta,PHYS 399A,IND ST: COMP METHODS FOR ENGR,PHYS 4000,PHYSICS ELECTIVE,3.0
New York,SUNY Plattsburgh,PHY 421,FUND ELECTROMAGNET,PHYS 4000,PHYSICS ELECTIVE,3.0
New York,SUNY Plattsburgh,PHY 452,QUANTUM MECHANICS,PHYS 4000,PHYSICS ELECTIVE,3.0
UNITED KINGDOM,Lancaster University,PHYS 483,QUANTUM INFORMATION PROCESSING,PHYS 4000,PHYSICS ELECTIVE,3.0
UNITED KINGDOM,University College London,PHAS 2423,MATH. METHODS FOR THEORE. PHYS,PHYS 4000,PHYSICS ELECTIVE,4.0
UNITED KINGDOM,University College London,PHAS 3136,COSMOLOGY & EXTRAGALACTIC ASTR,PHYS 4000,PHYSICS ELECTIVE,4.0
UNITED KINGDOM,University of Leeds,PHYS 3470,QUANTUM COMPUTATION,PHYS 4000,PHYSICS ELECTIVE,4.0
UNITED KINGDOM,University of Leeds,PHYS 5160M,GENERAL RELATIVITY,PHYS 4000,PHYSICS ELECTIVE,4.0
