School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
Florida,Univ South Florida,EVR 2001,INTRO TO ENVIRONMENTAL SCIENCE,IENV 2100,INTRO TO ENVIRONMENTAL STUDIES,3.0
New Jersey,Brookdale Cmty Coll,ENVR 107,ENVIRONMENTAL SCIENCE,IENV 2100,INTRO TO ENVIRONMENTAL STUDIES,4.0
New York,Baruch College,ENV 3001,INTRO TO ENVIRONMENTAL SCI,IENV 2100,INTRO TO ENVIRONMENTAL STUDIES,4.0
New York,Hudson Vly Cmty Coll,BIOL 215,ENVIRONMENTAL SCIENCE,IENV 2100,INTRO TO ENVIRONMENTAL STUDIES,4.0
New York,SUNY Albany,"ENV 105
AND GOG 201","INTRO TO ENVIRON SCIENCE
AND ENVIRONMENTAL ANALYSIS",IENV 2100,INTRO TO ENVIRONMENTAL STUDIES,4.0
