School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
CHINA,Zhengzhou Univ.,STAT 01,PROB THEORY & MATH STATISTICS,ECSE 2500,ENGINEERING PROBABILITY,3.0
California,Cal State Poly Univ-Pomona,ECE 315,"PROB, STATS & RD PROC FOR E&C",ECSE 2500,ENGINEERING PROBABILITY,3.0
California,Santa Clara Univ,AMTH 108,PROBABILITY & STATISTICS,ECSE 2500,ENGINEERING PROBABILITY,3.0
DENMARK,Technical Univ. of Denmark,02405 02405,PROBABILITY THEORY,ECSE 2500,ENGINEERING PROBABILITY,3.0
HONG KONG,Hong Kong Polytechnic Univ.,AMA 2104,PROB AND ENGR STATISTICS,ECSE 2500,ENGINEERING PROBABILITY,3.0
Maryland,U S Naval Academy,SM 313,PROBABILITY WITH APPL TO EE,ECSE 2500,ENGINEERING PROBABILITY,3.0
Missouri,Univ Missouri Columb,IMSE 2110,PROB:STATS FOR ENGINEERS,ECSE 2500,ENGINEERING PROBABILITY,3.0
New Jersey,Stevens Inst of Technolgy,E 243,PROB & STATS FOR ENGINEERS,"ECSE 2500
OR MGMT 2100","ENGINEERING PROBABILITY
OR STATISTICAL METHODS","3.0
OR 3.0"
New York,SUNY Albany,MAT 370,PROB AND STATS ENGINEERING SCI,ECSE 2500,ENGINEERING PROBABILITY,3.0
New York,The City College of New York,EE 31100,PROB & RANDOM PROC,ECSE 2500,ENGINEERING PROBABILITY,3.0
Pennsylvania,Swarthmore College,ENGR 014,EXPER. FOR ENGR. DESIGN,ECSE 2500,ENGINEERING PROBABILITY,3.0
