School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
DENMARK,Technical Univ. of Denmark,41323 41323,ADVANCED FLUID MECHANICS,"CHME 4000
AND CHME 4020","CHEMICAL ENGINEERING ELECTIVE
AND TRANSPORT PHENOMENA II","1.0
AND 4.0"
Florida,Univ South Florida,ECH 4267,TRANSPORT PHENOMENA II,CHME 4020,TRANSPORT PHENOMENA II,3.0
SINGAPORE,Nanyang Tech. Univ.,CH 2004,HEAT & MASS TRF CHEM BIOL SYST,CHME 4020,TRANSPORT PHENOMENA II,4.0
SINGAPORE,Nanyang Tech. Univ.,CH 2104,HEAT & MASS TRF CHEM&BIO SYS,CHME 4020,TRANSPORT PHENOMENA II,4.0
UNITED KINGDOM,University College London,CENG 3005,TRANSPORT PROCESSES III,CHME 4020,TRANSPORT PHENOMENA II,4.0
