School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
Maine,University Maine,PSY 361,SENSATION AND PERCEPTION,PSYC 4410,SENSATION AND PERCEPTION,3.0
Massachusetts,Boston University,PS 222,PERCEPTION,PSYC 4410,SENSATION AND PERCEPTION,4.0
Massachusetts,Framingham State University,PSYC 280,SENSATION AND PERCEPTION,PSYC 4410,SENSATION AND PERCEPTION,4.0
Minnesota,College of Saint Benedict,PSYC 330,SENSATION & PERCEPTION,PSYC 4410,SENSATION AND PERCEPTION,4.0
New York,Eugene Lang College,LPSY 2038,FUND OF VISUAL PERCEPTION,PSYC 4410,SENSATION AND PERCEPTION,4.0
Virginia,George Mason Univers,PSYC 309,SENSATION & PERCEPTION,PSYC 4410,SENSATION AND PERCEPTION,4.0
