School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
Connecticut,Sacred Heart Univ,HI 300,THE VIETNAM WAR/1945-1975,STSH 4000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
Florida,Florida International Univ.,EUH 4521,VICTORIAN BRITAIN,STSH 4000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
Hawaii,Univ Hawaii At Manoa,HIST 434,HISTORY CHRISTIANITY TO 1500,STSH 4000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
Indiana,Univ Of Notre Dame,HIST 490,AMER MILITARY HIST,STSH 4000,SCI & TECH STUDIES ELECTIVE,3.0
Massachusetts,Merrimack College,WGS 3300H,US WOMEN'S HISTORY - HONORS,STSH 4000,SCI & TECH STUDIES ELECTIVE,4.0
Michigan,Univ Detroit Mercy,HIS 3480,AFRICAN-AMER HISTORY,STSH 4000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
Missouri,Columbia College,HIST 370,AMERICAN MILITARY HISTORY,STSH 4000,SCI & TECH STUDIES ELECTIVE,3.0
New Mexico,Univ Of New Mexico,HIST 339,VIETNAM WAR ERA,STSH 4000,SCI & TECH STUDIES ELECTIVE,3.0
New Mexico,Univ Of New Mexico,HIST 461,WESTERN HERO,STSH 4000,SCI & TECH STUDIES ELECTIVE,3.0
New York,Buffalo State Coll,HIS 318,SOVIET UNION,STSH 4000,SCI & TECH STUDIES ELECTIVE,3.0
New York,Buffalo State Coll,HIS 321W,MEDIEVAL EUROPE,STSH 4000,SCI & TECH STUDIES ELECTIVE,3.0
New York,Buffalo State Coll,HIS 354,CARIBBEAN HISTORY,STSH 4000,SCI & TECH STUDIES ELECTIVE,3.0
New York,Buffalo State Coll,HIS 360,GERMANY & HITLER,STSH 4000,SCI & TECH STUDIES ELECTIVE,3.0
New York,Buffalo State Coll,HIS 389,HISTORY OF AZTECS,STSH 4000,SCI & TECH STUDIES ELECTIVE,3.0
New York,Buffalo State Coll,HIS 401,EUROPEAN DIPLOM.,STSH 4000,SCI & TECH STUDIES ELECTIVE,3.0
New York,Buffalo State Coll,HIS 405W,REFORMATION,STSH 4000,SCI & TECH STUDIES ELECTIVE,3.0
New York,Clarkson University,HIST 392,ST: DEPRESSION & WAR 1929-1945,STSH 4000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
New York,Marist College,HIST 381L,FILM & HISTORY,STSH 4000,SCI & TECH STUDIES ELECTIVE,3.0
New York,Roberts Wesleyan Col,HST 320,HIST LOC: REN ITALY,STSH 4000,SCIENCE & TECHNOLOGY ELECTIVE,2.0
New York,Russell Sage College,HST 348,TPC OXFORD-STYLE TUTOR HONORS,STSH 4000,SCI & TECH STUDIES ELECTIVE,3.0
New York,SUNY Albany,ENG 310,READ & INTERPRET ENG STUDIES,STSH 4000,SCI & TECH STUDIES ELECTIVE,3.0
New York,SUNY Albany,HIS 356,THE WORLD AT WAR 1939-45,STSH 4000,SCI & TECH STUDIES ELECTIVE,3.0
New York,SUNY Albany,JST 344,ISSUES MOD JEWISH HISTORY,STSH 4000,SCI & TECH STUDIES ELECTIVE,3.0
New York,SUNY at Stony Brook,HIS 213,COLONIAL LATIN AMERICA,STSH 4000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
New York,SUNY at Stony Brook,HIS 391,TOPICS IN EARLY MOD EUROPE,STSH 4000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
New York,Siena College,RELG 355,THE CATHOLIC TRADITION,STSH 4000,SCI & TECH STUDIES ELECTIVE,3.0
Oregon,University Of Oregon,ARH 410,GOTHIC ARCHITECTURE II,STSH 4000,SCIENCE & TECHNOLOGY ELECTIVE,4.0
Pennsylvania,Franklin & Marshall,HIS 339,CIVIL WAR & RECONSTRUCTION,STSH 4000,SCIENCE & TECHNOLOGY ELECTIVE,4.0
Pennsylvania,Franklin & Marshall,HIS 360,HISTORY WORKSHOP,STSH 4000,SCIENCE & TECHNOLOGY ELECTIVE,4.0
Pennsylvania,Franklin & Marshall,HIS 374,GLOBAL COLD WAR,STSH 4000,SCIENCE & TECHNOLOGY ELECTIVE,4.0
SINGAPORE,Nanyang Tech. Univ.,BS 803,SCI or FICT?BIOL POPULAR MEDIA,STSH 4000,STSH ELECTIVE,3.0
SINGAPORE,Nanyang Tech. Univ.,HL 0301,ENVIR. SUSTAINABILITY IN LIT.,STSH 4000,SCI & TECH STUDIES ELECTIVE,3.0
SINGAPORE,Nanyang Tech. Univ.,PR0 360,ADV. DEVELOPMENT & PROTOTYP.,STSH 4000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
