School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
New York,Pace U Plsntvl Brclf,SCI 150,ASTRONOMY,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
New York,Pace Univ NYC,SCI 130,ELEMENTS-ENVIRON SCIENCE,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
New York,Queens College,ENSCI 100,OUR PLANET IN 21C,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
New York,Queens College,GEOL 25,NAT RES & ENVIRON,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
New York,SUNY Albany,ATM 102,SCIENCE & MAJOR ENVIRON ISSUES,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
New York,SUNY Albany,ENV 105,INTRO TO ENVIRONMENTAL SCI,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
New York,SUNY Albany,PHY 202,ENVIRONMENTAL PHYSICS,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
New York,SUNY Binghamton,GEOG 221,TERRESTRIAL BIOMES,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
New York,SUNY Binghamton,GEOL 115,GLOBAL CHG: GEOLOGIC PERSPECTI,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
New York,SUNY Buffalo,GLY 102,GLOBAL ENVIRONMENTAL SCIENCE,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
New York,SUNY Coll Env Science,EST 231,ENVIRONMENTAL GEOLOGY,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
New York,SUNY Oneonta,ENVS 101,ENVIRONMENTAL SCIENCE,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
New York,SUNY Oneonta,ENVS 290,WASTE MANAGEMENT,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
New York,SUNY Oneonta,PHYS 238,INTRO ENRGY SCI & PLCY SUSTAIN,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
New York,SUNY Plattsburgh,ENV 101,INTRO TO ENVIRONMENTAL SCI.,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
New York,SUNY at Stony Brook,MAR 101,LONG ISLAND SOUND: SCI & USE,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
New York,SUNY at Stony Brook,MEC 280,POLLUTION AND HUMAN HEALTH,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
New York,Sage Jr Coll Albany,SCI J104,ENERGY & THE ENVIRONMENT,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
New York,Suny Coll Tech Alfrd,NASC 1043,PHYSICAL SCIENCE SURVEY,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
New York,Suny Coll Tech Cnton,AREA 110,INTRO TO ALERNATIVE ENERGY,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
New York,Suny Coll Tech Cnton,"AREA 110
AND AREA 310","INTRO TO ALERNATIVE ENERGY
AND BIOFUELS",IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
New York,Suny Coll Tech Cnton,ESCI 101,INTRO ENVIRONMENTAL SCIENCE,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
North Carolina,North Carolina St U,ES 100,INTRO ENVIRONMENTAL SCIENCE,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
Ohio,Kenyon College,ENVS 112,INTRO ENVIRONMENTAL STUDIES,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
Ohio,Oberlin College,ENVS 101,ENVIRONMENT AND SOCIETY,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
Ohio,Ohio State University,RCS 2200,SCI SUSTAIN PLNT PROD,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
Oregon,Oregon St Univ,RNG 121,INTRO TO WILDLAND ECOLOGY,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
Oregon,Rogue Cmty College,BI 272,INTRO TO ECOLOGY W/LAB,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
Pennsylvania,Bucks Co Cmty Coll,SCIE 105H,INTRO: ENVIR SCIENCE HONORS,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
Pennsylvania,Drexel University,ENVS 260,ENVIRON. SCIENCE & SOCIETY I,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
Pennsylvania,Lehigh University,"EES 004
AND EES 011","SCIENCE OF ENVIRON. ISSUES
AND ENVIRONMENTAL GEOLOGY",IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
Pennsylvania,Philadelphia University,SCI 101,ENVIRONMENTAL SCIENCE,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
RUSSIAN FEDERATION,Mordovian State University,ECOL 1,ECOLOGY,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
Rhode Island,University of Rhode Island,BIO 262,INTRODUCTORY ECOLOGY,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
UNITED KINGDOM,University of Leeds,SOEE 1280,THE ATMOSPHERE OF PLANET ERTH,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
Vermont,St Michaels College,ES 107,ENVIRONMENTAL SCIENCE,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
Virginia,Hampden-Sydney Coll,PHYS 107,ENERGY AND THE ENIVRONMENT,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
Washington,Tacoma Cmty College,ENVSC 106,ENVIRONMENTAL SCIENCE,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
Washington,University of Washington,ESRM 100,ENVIRONMENTAL SCIENCE,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
Washington,University of Washington,OCEAN 102,THE CHANGING OCEANS,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
