School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
AUSTRALIA,University of Sydney,MATH 1005,STATISTICS,MGMT 2100,STATISTICAL METHODS,3.0
AUSTRALIA,Victoria University,BEO 1106,BUSINESS STATISTICS,MGMT 2100,STATISTICAL METHODS,4.0
AUSTRALIA,Victoria University,RBF 3610,BIOSTATISTICS,MGMT 2100,STATISTICAL METHODS,4.0
AUSTRALIA,Victoria University,RCM 1613,APPLIED STATISTICS 1,MGMT 2100,STATISTICAL METHODS,4.0
Arizona,Maricopa Comm Coll,MAT 206,ELEMENTS OF STATISTICS,MGMT 2100,STATISTICAL METHODS,3.0
Arizona,University of Arizona,BNAD 276,STATISTIC INTERFERENCE IN MNGM,MGMT 2100,STATISTICAL METHODS,3.0
BRAZIL,Universidade Fed. de Pernam.,ET 625,STATISTICS 1,MGMT 2100,STATISTICAL METHODS,4.0
CANADA,Seneca College,MTH 197,STATISTICS I,MGMT 2100,STATISTICAL METHODS,3.0
CANADA,Seneca College,MTH 197,STATISTICS I,MGMT 2100,STATISTICAL METHODS,3.0
CHINA,Beijing U.of Civil Engr.& Arch,BUCE 20921024,PROB THEORY & MATH STATISTICS,MGMT 2100,STATISTICAL METHODS,3.0
CHINA,Capital U. of Econ & Business,MATH 4,PROB AND MATH STATISTICS,MGMT 2100,STATISTICAL METHODS,4.0
CHINA,China Agricultural University,CAU 10111570,PROB THEORY & MATH STATISTICS,MGMT 2100,STATISTICAL METHODS,3.0
CHINA,China Agricultural University,MGMT 3,STATISTICS,MGMT 2100,STATISTICAL METHODS,4.0
CHINA,China Univ. Political Sci &Law,"MATH 8
AND MATH 11","PROB THEORY AND MATHEMATICS
AND STATISTICS","MGMT 1000
AND MGMT 2100","MANAGEMENT ELECTIVE
AND STATISTICAL METHODS","2.0
AND 3.0"
CHINA,Chongqing Univ. of Technology,MATH 3,PROBABILITY AND MATH STATS,MGMT 2100,STATISTICAL METHODS,3.0
CHINA,Dalian Univ. of Tech.,DU 101200,PROBABILITY AND STATISTICS,MGMT 2100,STATISTICAL METHODS,3.0
CHINA,Guangdong Univ. of Finance,"STAT 2
AND STAT 1","PRINCIPLE OF STATISTICS
AND PROBABILITY AND MATH STATS",MGMT 2100,STATISTICAL METHODS,4.0
CHINA,Guilin Univ. of Technology,MATH 4,PROBABILITY & MATH STATISTICS,MGMT 2100,STATISTICAL METHODS,3.0
CHINA,Nanjing University of Tech.,MATH 4,PROB THEORY AND MATH STATS,MGMT 2100,STATISTICAL METHODS,3.0
CHINA,Nankai University,MGMT 3,STATISTICS,MGMT 2100,STATISTICAL METHODS,3.0
CHINA,Shanghai Business School,STAT 01,PROB & MATHEMATICAL STATISTICS,MGMT 2100,STATISTICAL METHODS,3.0
CHINA,Shanghai U of Finance &Econ.,STAT 01,PROB THEORY & MATHEMATICAL STA,MGMT 2100,STATISTICAL METHODS,4.0
CHINA,Shanghai Univ.Int'l Busi/Econ,"MATH 4
AND MGMT 5","STATISTICS
AND PROBABILITY & STATISTICS",MGMT 2100,STATISTICAL METHODS,4.0
CHINA,Shenyang Normal University,BMGT 5,BUSINESS STATISTICS,MGMT 2100,STATISTICAL METHODS,3.0
CHINA,Southwest Jiaotong University,STAT 201,INTRODUCTION TO STATISTICS,MGMT 2100,STATISTICAL METHODS,4.0
CHINA,Univ. of Int'l Business & Econ,MAT 22,INTRODUCTION TO STATISTICS,MGMT 2100,STATISTICAL METHODS,3.0
CHINA,Wuhan University,MATH 13,PROBABILITY AND STATISTICS,MGMT 2100,STATISTICAL METHODS,4.0
CHINA,Wuhan University,MATH 4,PROBABILITIES & STATISTICS,MGMT 2100,STATISTICAL METHODS,4.0
CHINA,Xiamen University,"MATH 3
AND MATH 2","PRINCIPLES OF STATISTICS
AND PROB AND MATH STATISTICS","MGMT 2000
AND MGMT 2100","MANAGEMENT ELECTIVE
AND STATISTICAL METHODS","3.0
AND 3.0"
CHINA,Zhongnan Univ of Econ & Law,STAT 02,STATISTICS,MGMT 2100,STATISTICAL METHODS,4.0
California,American River Coll,STAT 300,INTRO PROBABILITY & STATS,MGMT 2100,STATISTICAL METHODS,4.0
California,Cabrillo Coll,MATH 12,ELEMENTARY STATISTICS,MGMT 2100,STATISTICAL METHODS,4.0
California,City Coll San Frnsco,MATH 80,PROBABILITY AND STATISTICS,MGMT 2100,STATISTICAL METHODS,4.0
California,College of San Mateo,MATH 200,ELEM PROBABILITY & STATISTICS,MGMT 2100,STATISTICAL METHODS,4.0
California,Foothill Coll,MATH 010,ELEMENTARY STATISTICS,MGMT 2100,STATISTICAL METHODS,3.0
California,Glendale Cmty Coll,MATH 136,STATISTICS,MGMT 2100,STATISTICAL METHODS,3.0
California,Mendocino College,MTH 220,STATISTICS,MGMT 2100,STATISTICAL METHODS,4.0
California,Mira Costa College,MATH 103,STATISTICS,MGMT 2100,STATISTICAL METHODS,4.0
California,Mission College,MATH 010,ELEM. STATISTICS,MGMT 2100,STATISTICAL METHODS,4.0
California,Napa Valley College,MATH 232,STATISTICS,MGMT 2100,STATISTICAL METHODS,4.0
California,Rio Hondo College,MATH 130,STATISTICS,MGMT 2100,STATISTICAL METHODS,3.0
California,Sacramento City Coll,STAT 480,INTRO PROB AND STATS - HONORS,MGMT 2100,STATISTICAL METHODS,4.0
California,Southwestern College,MATH 119,ELEMENTARY STATISTICS,MGMT 2100,STATISTICAL METHODS,4.0
California,Univ Calif Berkeley,STAT W21,INTRO PROB STAT BUS,MGMT 2100,STATISTICAL METHODS,4.0
California,Univ Calif Davis,STATIST 013,ELEMENTARY STATISTICS,MGMT 2100,STATISTICAL METHODS,4.0
California,Univ California-Santa Barbara,PSTAT 5A,STATISTICS,MGMT 2100,STATISTICAL METHODS,4.0
California,Univ Southern Calif,MATH 208,STATISTICS,MGMT 2100,STATISTICAL METHODS,4.0
