School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
CANADA,McGill University,MATH 324,STATISTICS,MATP 4620,MATHEMATICAL STATISTICS,3.0
CANADA,McGill University,MATH 324,STATISTICS,MATP 4620,MATHEMATICAL STATISTICS,3.0
CHINA,Northeastern Univ. of China,MATH 13,MATHEMATICAL STATISTICS,MATP 4620,MATHEMATICAL STATISTICS,3.0
California,Univ California-Santa Barbara,PSTAT 120B,PROB & STATISTICS,MATP 4620,MATHEMATICAL STATISTICS,4.0
Maine,Colby College,MA 382,MATH STAT II: INFERENCE,MATP 4620,MATHEMATICAL STATISTICS,4.0
New York,SUNY Albany,MAT 363,STATISTICS,MATP 4620,MATHEMATICAL STATISTICS,3.0
New York,St Lawrence Univ,STAT 326,MATHEMATICAL STATI,MATP 4620,MATHEMATICAL STATISTICS,4.0
North Carolina,North Carolina St U,ST 421,INTRO MATH STAT I,MATP 4620,MATHEMATICAL STATISTICS,3.0
Pennsylvania,Lafayette College,MATH 336,MATHEMATICAL STATISTICS,MATP 4620,MATHEMATICAL STATISTICS,4.0
