School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
AUSTRALIA,Queensland University of Tech.,MGB 207.2,HUMAN RES ISSUES & STRATEGY,MGMT 4860,HR IN HIGH PERFORMANCE ORGS,4.0
CHINA,Chinese Univ. of Hong Kong,MGNT 2040,HUMAN RESOURCE MANAGEMENT,MGMT 4860,HR IN HIGH PERFORMANCE ORGS,3.0
CHINA,Chinese Univ. of Hong Kong,MGT 2040B,HUMAN RESOURCE MANAGEMENT,MGMT 4860,HR IN HIGH PERFORMANCE ORGS,3.0
DENMARK,Copenhagen Business School,HA E158,HUMAN RESOURCE MANAGEMENT,MGMT 4860,HR IN HIGH PERFORMANCE ORGS,4.0
DENMARK,Copenhagen Business School,HA E165,GLOBAL PEOPLE MGMT LEAD.&HR,MGMT 4860,HR IN HIGH PERFORMANCE ORGS,4.0
DENMARK,Copenhagen Business School,HA E33,INTL HUMAN RESOURCE MGMT,MGMT 4860,HR IN HIGH PERFORMANCE ORGS,4.0
Massachusetts,Babson College,MOB 3515,HUMAN RESRCE MGT,MGMT 4860,HR IN HIGH PERFORMANCE ORGS,4.0
Michigan,Centrl Michigan Univ,MGT 258,EFF MEMG HUMAN RES ORGAN,MGMT 4860,HR IN HIGH PERFORMANCE ORGS,3.0
NETHERLANDS,Universiteit Maastricht,EBC 2026,HUMAN RESOURCE MANAGEMENT,MGMT 4860,HR IN HIGH PERFORMANCE ORGS,3.0
New York,New School University,MBMG 3000,HUMAN RESOURCES MANAGEMENT,MGMT 4860,MANAGING HIGH PERFORM II,3.0
New York,New School University,ZHRB 0303,HUMAN RESOURCES MGMT,MGMT 4860,HR IN HIGH PERFORANCE ORGS,3.0
New York,New School University,ZHRM 0322,ORG. DEVELOPMETN,MGMT 4860,MANAGING HIGH PERFORM II,3.0
New York,New School for Social Research,"HRBS 0304
AND HRBS 0303","PRACTICE OF MANAGEMNET
AND HUMAN RESOURCES MANAGEMENT",MGMT 4860,MANAGING HIGH PERFORM II,3.0
Pennsylvania,Luzerne Co Cmty Coll,BUS 251,HUMAN RESOURCE MANAGEMENT,MGMT 4860,HR IN HIGH PERFORMANCE ORGS,3.0
UNITED KINGDOM,Swansea University,EBH 221,HUMAN RESOURCE MGMT I,MGMT 4860,HR IN HIGH PERFORMANCE ORGS,4.0
Vermont,Comm Coll Of Vermont,BUS 2410,HUMAN RESOURCE MGT,MGMT 4860,HR IN HIGH PERFORMANCE ORGS,3.0
