School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
Massachusetts,Greenfield Cmty Coll,ENG 221,SHAKESPEARE,LITR 2350,SHAKESPEARE,3.0
New York,Dutchess Cmty Coll,ENG 230,SHAKESPEARE,LITR 2350,SHAKESPEARE,3.0
New York,Le Moyne College,ENG 300,MAJOR AUTHORS: SHAKESPEARE,LITR 2350,SHAKESPEARE,3.0
New York,Monroe Cmty College,ENG 218,INTRO TO SHAKESPEARE-WR,LITR 2350,SHAKESPEARE,3.0
New York,Nassau Cmty College,ENG 302,SHAKESPEARE TRAGEDIES,LITR 2350,SHAKESPEARE,3.0
New York,Rochester Inst of Technology,0504 455,SHAKESPEARE COMEDY,LITR 2350,SHAKESPEARE,4.0
New York,SUNY Geneseo,ENGL 355,SHAKESPEARE II,LITR 2350,SHAKESPEARE,3.0
New York,Skidmore College,EN 225,INTRO TO SHAKESPEARE,LITR 2350,SHAKESPEARE,3.0
