School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
AUSTRALIA,University of New South Wales,BIOS 3081,OCEAN TO ESTUARINE ECOSYSTEMS,BIOL 2000,BIOLOGY ELECTIVE,4.0
AUSTRALIA,Victoria University,RBM 2530,PATHOPHYSIOLOGY 1,BIOL 2000,BIOLOGY ELECTIVE,4.0
Arizona,Maricopa Comm Coll,BIO 205,MICROBIOLOGY,BIOL 2000,BIOLOGY ELECTIVE,4.0
CANADA,McGill University,"MIMM 211
AND BIOL 200","INTRO TO MICROBIOLOGY
AND MOLECULAR BIOLOGY",BIOL 2000,BIOLOGY ELECTIVE,4.0
CANADA,McGill University,"MIMM 211
AND BIOL 200","INTRO TO MICROBIOLOGY
AND MOLECULAR BIOLOGY",BIOL 2000,BIOLOGY ELECTIVE,4.0
California,Marymount College Ca,"SCI 380
AND SCI 340","MOLECULAR BIOLOGY
AND CELL BIOLOGY","BIOL 2000
AND BIOL 2120","BIOLOGY ELECTIVE
AND INTRODUCTION TO CELL BIOLOGY","4.0
AND 4.0"
Connecticut,Univ of Connecticut,EEB 269,SOCIAL INSECTS,BIOL 2000,BIOLOGY ELECTIVE,3.0
Florida,Eckerd College,BI 202,CELL BIOLOGY,BIOL 2000,BIOLOGY ELECTIVE,4.0
Florida,Univ Central Florida,BSC 3403C,QUANT. BIOLOGICAL METHODS,BIOL 2000,BIOLOGY ELECTIVE,4.0
Florida,Univ Central Florida,BSC 3424,NANOBIOTECHNOLOGY,BIOL 2000,BIOLOGY ELECTIVE,3.0
Florida,Univ Central Florida,PCB 3063H,HONORS GENETICS,BIOL 2000,BIOLOGY ELECTIVE,3.0
Florida,Univ Central Florida,PCB 3522,MOLECULAR BIOLOGY I,BIOL 2000,BIOLOGY ELECTIVE,3.0
Indiana,Univ Of Notre Dame,BIOL 303,FUND OF GENETICS,BIOL 2000,BIOLOGY ELECTIVE,4.0
Indiana,Univ Of Notre Dame,MBIO 401,PRINC MICROBIOLOGY,BIOL 2000,BIOLOGY ELECTIVE,4.0
Maine,Colby College,BI 271,INTRO TO ECOLOGY,BIOL 2000,BIOLOGY ELECTIVE,4.0
Maine,Colby College,BI 379,ANIMAL BEHAVIOR,BIOL 2000,BIOLOGY ELECTIVE,3.0
Maine,University Maine,AVS 455,ANIMAL NUTRITION,BIOL 2000,BIOLOGY ELECTIVE,4.0
Maine,University Maine,BIO 200,BIOLOGY OF ORGANISMS,BIOL 2000,BIOLOGY ELECTIVE,4.0
Maine,University Maine,SMS 300,MARINE ECOLOGY,BIOL 2000,BIOLOGY ELECTIVE,3.0
Maine,University Maine,SMS 422,BIOLOGY OF FISHES,BIOL 2000,BIOLOGY ELECTIVE,3.0
Maryland,Hagerstown Community College,BIO 205,MICROBIOLOGY,BIOL 2000,BIOLOGY ELECTIVE,4.0
Massachusetts,Bristol Communty Col,BIO 250,INTRODUCTION TO IMMUNOLOGY,BIOL 2000,BIOLOGY ELECTIVE,4.0
Massachusetts,Cape Cod Cmty Coll,BIO 201,MICROBIOLOGY,BIOL 2000,BIOLOGY ELECTIVE,4.0
Massachusetts,Harvrd-Radclff Fresh,BIOS S-129,"STEM CELL, REGENERATIVE BIOLOG",BIOL 2000,BIOLOGY ELECTIVE,4.0
Massachusetts,Harvrd-Radclff Fresh,BIOS S-68,GENOME AND SYSTEMS BIOLOGY,BIOL 2000,BIOLOGY ELECTIVE,4.0
Massachusetts,Mt Holyoke College,BIOL 200,INTRO II: HOW ORGANISMS DEVEL,BIOL 2000,BIOLOGY ELECTIVE,4.0
Massachusetts,Quinsigamond C C,BIO 260,MOLECULAR BIOLOGY,BIOL 2000,BIOLOGY ELECTIVE,4.0
Massachusetts,Simons Rock Clg Bard,"BIO 201
AND BIO 201L","CELLULAR & MOLECULAR BIOLOGY
AND CELL BIOLOGY LAB",BIOL 2000,BIOLOGY ELECTIVE,4.0
Massachusetts,Simons Rock Clg Bard,BIO 332,MOLECULAR EVOLUTION,BIOL 2000,BIOLOGY ELECTIVE,4.0
Massachusetts,Smith College,NSC 210,INTRO TO NEUROSCIENCE,BIOL 2000,BIOLOGY ELECTIVE,4.0
Michigan,Michigan State Univ,PSL 250,INTRODUCTORY PHYSIOLOGY,BIOL 2000,BIOLOGY ELECTIVE,4.0
Minnesota,University of Northwestern,"BIO 3231L
AND BIO 3231","BIOCHEMISTRY I LAB
AND BIOCHEMISTRY I",BIOL 2000,BIOLOGY ELECTIVE,4.0
New Hampshire,Saint Anselm College,BI 31,ANAT & PHYSIOLOGY I,BIOL 2000,BIOLOGY ELECTIVE,4.0
New Jersey,County Coll Morris,BIO 133,HUMAN BIOLOGY,BIOL 2000,BIOLOGY ELECTIVE,4.0
New Jersey,County Coll Morris,BIO 215,MICROBIOLOGY,BIOL 2000,BIOLOGY ELECTIVE,4.0
New Jersey,Middlesex County Col,BIO 206,PROTEIN PURIF & TISSUE CULT,BIOL 2000,BIOLOGY ELECTIVE,3.0
New Jersey,NJ Inst of Technology,BIOL 447,CELLULAR & SYSTEMS NEUROSCI,BIOL 2000,BIOLOGY ELECTIVE,3.0
New Jersey,Sussex Co Cmty Coll,BIOS 103,ANATOMY & PHYSIOLOGY I,BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,Adelphi Univ,BIO 521,ENDOCRINOLOGY LECTURE,BIOL 2000,BIOLOGY ELECTIVE,3.0
New York,Adelphi Univ,BIO 540,PRINCIPLES OF DISEASE,BIOL 2000,BIOLOGY ELECTIVE,3.0
New York,Adirondack Cmty Coll,BIO 108,HUMAN ANAT & PHYS II,BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,Albany Coll Pharmacy,BIO 210,MICROBIOLOGY,BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,Albany Coll Pharmacy,BIO 235,ADV. CELL BIOLOGY,BIOL 2000,BIOLOGY ELECTIVE,3.0
New York,Bard College,BIO 201,EUKERYOTIC GENETICS,BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,Bard College,BIO 202,ECOLOGY AND EVOLUTION,BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,Cayuga Co Cmty Coll,BIOL 216,GENERAL MICROBIOLOGY,BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,Clinton Cmty Coll Ny,BIO 204,MICROBIOLOGY,BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,College of Mount St. Vincent,NSCI 340,ENVIRONMENTAL BIOLOGY,BIOL 2000,BIOLOGY ELECTIVE,3.0
New York,College of Saint Rose,"BIO 360L
AND BIO 360","DEVELOPMENTAL BIOLOGY LAB
AND DEVELOPMENTAL BIOLOGY",BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,Columbia-Greene C C,BI 102,GENERAL BIOLOGY 2 W/LAB,BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,Cornell University,BIOES 278,EVOLUTIONARY BIOLOGY,BIOL 2000,BIOLOGY ELECTIVE,3.0
New York,Cornell University,BIONB 221,INTRO TO BEHAVIOR,BIOL 2000,BIOLOGY ELECTIVE,3.0
New York,Cornell University,BIOPL 242,PLANT FUNCTION & GROWTH,BIOL 2000,BIOLOGY ELECTIVE,3.0
New York,Dutchess Cmty Coll,BIO 231,HUMAN ANATOMY & PHYSIOLOGY I,BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,Fulton-Montgomery Cc,"BI 1812
AND BI 1811","ANAT/PHYS
AND ANAT/PHYS",BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,Fulton-Montgomery Cc,"BI 1822
AND BI 1821","ANAT/PHYS
AND ANAT/PHYS",BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,Fulton-Montgomery Cc,"BIO 182
AND BIO 181","ANATOMY & PHYSIOLOGY II
AND ANATOMY & PHYSIOLOGY I",BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,Hamilton College,BIO 111,PRINC BIOL: CELLULAR & MOLEC,BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,Hudson Vly Cmty Coll,BIOL 207,BOTANY,BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,Hudson Vly Cmty Coll,BIOL 265,PRINCIPLES OF MICROBIOLOGY,BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,Hudson Vly Cmty Coll,BIOL 270,ANATOMY & PHYSIOLOGY I,BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,Hudson Vly Cmty Coll,BIOL 271,ANATOMY & PHYSIOLOGY II,BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,Ithaca College,BIOL 20600,PRIMARY HUMAN ANATOMY,BIOL 2000,BIOLOGY ELECTIVE,3.0
New York,Ithaca College,BIOL 22800,EVOLUTION OF ADAPTATIONS,BIOL 2000,BIOLOGY ELECTIVE,3.0
New York,Monroe Cmty College,BIO 209,GENERAL MICROBIOLOGY,BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,Monroe Cmty College,BIO 225,BIOANALY. TECHNIQUES I,BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,Monroe Cmty College,BIO 226,BIOANALY. TECHNIQUES II,BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,Monroe Cmty College,BIO 230,MOLECULAR GENETICS,BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,Monroe Cmty College,BIO 260,GENERAL ECOLOGY,BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,Nassau Cmty College,BIO 201,ANATOMY,BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,Orange Co Cmty Coll,31 212,GENETICS,BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,Orange Co Cmty Coll,BIO 201,GENETICS,BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,Polytechnic Inst. of NY Univ.,BMS 2004,INTRO TO PHYSIOLOGY,BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,Roberts Wesleyan Col,BIO 202,HUMAN ANAT & PHYS II,BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,Rochester Inst of Technology,1026 350,ANATOMY & PHYSIOLOGY I,BIOL 2000,BIOLOGY ELECTIVE,3.0
New York,Rochester Inst of Technology,1026 360,ANATOMY & PHYSIOLOGY II,BIOL 2000,BIOLOGY ELECTIVE,3.0
New York,Rockland Cmty Coll,BIO 603,INDEP STUDY IN BIO,BIOL 2000,BIOLOGY ELECTIVE,3.0
New York,Russell Sage College,BIO 201,ANATOMY & PHYSIOLOGY I,BIOL 2000,BIOLOGY ELECTIVE,4.0
New York,Russell Sage College,BIO 202,ANATOMY & PHYSIOLOGY II,BIOL 2000,BIOLOGY ELECTIVE,4.0
