School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
DENMARK,Technical Univ. of Denmark,28244 28244,COMBUST & HIGH TEMP PROCESSES,"CHME 4000
OR MANE 4000","CHEMICAL ENGINEERING ELECTIVE
OR MECH, AERO, NUCL, ENVIR ENG","3.0
OR 3.0"
DENMARK,Technical Univ. of Denmark,28415 28415,OIL AND GAS PRODUCTION,CHME 4000,CHEMICAL ENGINEERING ELECTIVE,3.0
DENMARK,Technical Univ. of Denmark,28420 28420,SEPARATION PROCESSES,"CHME 4000
AND CHME 4040","CHEMICAL ENGINEERING ELECTIVE
AND CHEMICAL ENG SEPARATIONS","1.0
AND 3.0"
DENMARK,Technical Univ. of Denmark,41323 41323,ADVANCED FLUID MECHANICS,"CHME 4000
AND CHME 4020","CHEMICAL ENGINEERING ELECTIVE
AND TRANSPORT PHENOMENA II","1.0
AND 4.0"
New York,Pace U Plsntvl Brclf,CHE 480,RESEARCH IN CHEMISTRY,CHME 4000,CHEMICAL ENGINEERING ELECTIVE,3.0
SINGAPORE,Nanyang Tech. Univ.,CH 3010,MODEL CHEM & BIOL SYSTEMS,CHME 4000,CHEMICAL ENGINEERING ELECTIVE,3.0
SINGAPORE,Nanyang Tech. Univ.,CH 4213,PHARMACOKINETICS&BIOPHARMACT.,"BMED 4450
OR CHME 4000","DRUG AND GENE DELIVERY
OR CHEMICAL ENGINEERING ELECTIVE","3.0
OR 3.0"
UNITED KINGDOM,University College London,BENG M028,VACCINE BIOPROCESSING,CHME 4000,CHEMICAL ENGINEERING ELECTIVE,4.0
