School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
CHINA,East China Univ. of Sci & Tech,ENGR 07,MODERN MECHANICAL CONTROL ENGR,MANE 4500,MODELING AND CONTRL OF DYN SYS,3.0
Maryland,U S Naval Academy,EW 305,LINEAR CONTROL ENGINEERING,"MANE 4510
AND MANE 4500","CONTROL SYSTEMS LAB
AND MODELING AND CONTRL OF DYN SYS","1.0
AND 3.0"
UNITED KINGDOM,University of Bath,ME 30029,CONTROL SYSTEMS,MANE 4500,MODELING AND CONTRL OF DYN SYS,3.0
