School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
Georgia,Morehouse College,HFLC 201,INTERMEDIATE CHINESE I,LANG 2410,CHINESE II,4.0
Massachusetts,Simons Rock Clg Bard,CHIN 204,INTERMEDIATE CHINESE I,LANG 2410,CHINESE II,3.0
New Jersey,Middlesex County Col,CHN 122,ELEMENTARY CHINESE II,LANG 2410,CHINESE II,3.0
New Jersey,Seton Hall Univ,CHIN 2101,INTERM CHINESE I,LANG 2410,CHINESE II,3.0
New York,Fordham University,MAND 1501,INTERMEDIATE MANDARIN I,LANG 2410,CHINESE II,3.0
Virginia,Virginia Tech,CHN 2105,INTERMEDIATE CHINESE,LANG 2410,CHINESE II,3.0
