School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
AUSTRALIA,Queensland University of Tech.,BSB 110,ACCOUNTING,MGMT 2300,ACCT FOR DECISION MAKING,4.0
AUSTRALIA,University of New South Wales,ACCT 1501,ACCT & FINANCIAL MANAGE. 1A,MGMT 2300,ACCT FOR DECISION MAKING,4.0
Alabama,Troy University,ACT 2291,PRINCIPLES OF ACCOUNTING I,MGMT 2300,FINANCIAL ACCOUNTING,3.0
BANGLADESH,American Int'l Univ.Bangledesh,BBA 1102,PRINCIPLES OF ACCOUNTING,MGMT 2300,ACCT FOR DECISION MAKING,3.0
CHINA,Capital U. of Econ & Business,MGMT 5,ACCOUNTING,MGMT 2300,ACCT FOR DECISION MAKING,4.0
CHINA,Central Univ. Finance & Econ.,ACTG 1,MANAGEMENT ACCOUNTING,MGMT 2300,ACCT FOR DECISION MAKING,3.0
CHINA,China Univ. Political Sci &Law,MGMT 2,ACCOUNTING PRINCIPLES,MGMT 2300,ACCT FOR DECISION MAKING,3.0
CHINA,Guangdong Univ. of Finance,"MGTE 7
AND ACCT 1","FINANCIAL MANAGEMENT
AND PRINCIPLES OF ACCOUNTING",MGMT 2300,ACCT FOR DECISION MAKING,4.0
CHINA,Nankai University,"ACCT 1
AND MGMT 4","ACCOUNTING
AND CORPORATE FINANCE",MGMT 2300,ACCT FOR DECISION MAKING,4.0
CHINA,Ocean University of China,MGMT 5,MANAGMENT ACCOUNTING,MGMT 2300,ACCT FOR DECISION MAKING,4.0
CHINA,Shanghai U of Finance &Econ.,ACCT 01,FINANCIAL ACCOUNTING,MGMT 2300,FINANCIAL ACCOUNTING,3.0
CHINA,Straits Inst. of Minjiang Univ,ACCT 02,FINANCIAL ACCOUNTING,MGMT 2300,FINANCIAL ACCTG IN DIGITAL AGE,3.0
CHINA,Wuhan University,BUSI 3,ACCOUNTING B,MGMT 2300,ACCT FOR DECISION MAKING,3.0
CHINA,Zhongnan Univ of Econ & Law,ACCT 02,FINANCIAL ACCOUNTING,MGMT 2300,FINANCIAL ACCOUNTING,3.0
California,Foothill Coll,"ACTG 001B
AND ACTG 001A","FINANCIAL ACCOUNTING II
AND FINANCIAL ACCOUNTING I","MGMT 2000
AND MGMT 2300","MANAGEMENT ELECTIVE
AND ACCT FOR DECISION MAKING","4.0
AND 4.0"
California,Mount San Antonio C,BUSA 7,PRINC OF ACCT--FINANCIAL,MGMT 2300,FINANCIAL ACCTG IN DIGITAL AGE,4.0
California,Napa Valley College,"ACCT 125
AND ACCT 126","FINANCIAL ACCOUNTING
AND MANAGERIAL ACCOUNTING","MGMT 2000
AND MGMT 2300","MANAGEMENT ELECTIVE
AND ACCT FOR DECISION MAKING","4.0
AND 4.0"
California,Sacramento City Coll,ACCT 301,FINANCIAL ACCOUNTING,MGMT 2300,FINANCIAL ACCOUNTING,4.0
California,San Jose State Univ,"BUS1 20
AND BUS1 21","FINANCIAL ACCOUNTING
AND MANAGERIAL ACCOUNTING","MGMT 2000
AND MGMT 2300","MANAGEMENT ELECTIVE
AND ACCT FOR DECISION MAKING","3.0
AND 3.0"
California,Univ Calif Berkeley,UGBA 102A,INTRO FIN ACCOUNT,MGMT 2300,ACCT FOR DECISION MAKING,4.0
Colorado,Colorado College,EC 205,PRINCIPLES OF FINANCIAL ACCOUN,MGMT 2300,FINANCIAL ACCOUNTING,4.0
Connecticut,Univ of Connecticut,"ACCT 200
AND ACCT 131","PRIN OF MANAGERIAL ACCOUNTING
AND PRINC OF FINANCIAL ACCOUNTING","MGMT 2000
AND MGMT 2300","MANAGEMENT ELECTIVE
AND ACCT FOR DECISION MAKING","3.0
AND 3.0"
Florida,Hillsborough C C,ACG 2021H,HONORS FINANCIAL ACCOUNTING,MGMT 2300,FINANCIAL ACCOUNTING,3.0
Florida,Miami-Dade Cc North,"ACG 2071L
AND ACG 2021
AND ACG 2021L
AND ACG 2071","MANAGERIAL ACCT LAB
AND FINANCIAL ACCOUNTING
AND FINANCIAL ACCT LAB
AND MANAGERIAL ACCOUNTING","MGMT 2000
AND MGMT 2300","MANAGEMENT ELECTIVE
AND ACCT FOR DECISION MAKING","1.0
AND 3.0"
Georgia,Spelman College,SMGT 261,PRINCIPLES OF ACCOUNTING,MGMT 2300,ACCT FOR DECISION MAKING,4.0
Illinois,Triton College,ACC 101,FINANCIAL ACCOUNTING,MGMT 2300,FINANCIAL ACCTG IN DIGITAL AGE,4.0
Indiana,Indiana Univ Bloomng,BUS-A 200,FOUNDATIONS OF ACCOUNTING,MGMT 2300,FINANCIAL ACCOUNTING,3.0
Iowa,University Of Iowa,"06A 002
AND 06A 001","MANAGERIAL ACCOUNTING
AND INTRO TO FINANCIAL ACCOUNTING","MGMT 2000
AND MGMT 2300","MANAGEMENT ELECTIVE
AND ACCT FOR DECISION MAKING","3.0
AND 3.0"
