School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
New York,SUNY Plattsburgh,ENV 206,ENVIRONMENTAL TECHNOLOGY I,ENVE 2000,ENVIR AND ENERGY ENGR ELECTIVE,3.0
New York,SUNY Plattsburgh,ENV 356,ENVIRONMENTAL TECHNOLOGY II,ENVE 2000,ENVIR AND ENERGY ENGR ELECTIVE,3.0
SINGAPORE,Nanyang Tech. Univ.,EN 0001,SUST PRAC URBAN/MARINE ENVRN,ENVE 2000,ENVIR AND ENERGY ENGR ELECTIVE,3.0
SINGAPORE,Nanyang Tech. Univ.,EN 4102,MEMBRANE WATER RECLAM TECH,ENVE 2000,ENVIR AND ENERGY ENGR ELECTIVE,3.0
