School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
Florida,Florida International Univ.,HUM 1020,INTRODUCTION TO HUMANITIES,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
Florida,Miami-Dade Cc North,HUM 1020,HUMANITIES,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
Florida,Miami-Dade Cc South,HUM 1020,HUMANITIES,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
Florida,Miami-Dade Cc South,IDH 1001,HONORS LEADERSHIP SEMINAR,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,1.0
Florida,Miami-Dade Cc South,IDH 1002,HONORS LEADERSHIP SEMINAR,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,1.0
Florida,Miami-Dade Cc South,IDH 2003,HONORS LEADERSHIP SEMINAR,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,1.0
Florida,Miami-Dade Cc South,IDH 2004,HONORS LEADERSHIP SEMINAR,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,1.0
Florida,Rollins College,MM 100A2,PERF AND CULTURE OF ME,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,4.0
Georgia,Clark Atlanta Univ,CHUM 228C,THE EARLY PERIOD TO 1914,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
Georgia,Mercer Univ Macon,INT 101,UNDERSTANDING SELF AND OTHERS,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,4.0
Georgia,Morehouse College,HAAS 100,INTRO TO AFR-AMERI STUD,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
Georgia,Morehouse College,HSOC 156G,MEN IN SOCIETY,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
Hawaii,Hawaii Pacific Univ,CSCI 1041,DIGIT LITERACY GLOBAL SOCIETY,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
Hawaii,Maui Community Coll,HUM 100,THEMES HUMANITIES,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
Idaho,Brigham Young Univ-BYU-Idaho,FDCA 101,FOUNDATIONS OF HUMANITIES,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
Illinois,Knox College,PREC 100,EXPLORING HUMAN IDENTITY,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,4.0
Illinois,Northwestern University,ANTHRO 101-6,FIRST YEAR SEMINAR,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
Illinois,Northwestern University,ANTHRO 108-6,FIRST YEAR SEMINAR,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
Illinois,Northwestern University,LDRSHP 204-0,PARADIGMS/STRATEGIES OF LDRSHP,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
Indiana,Purdue Univ W Lafyte,SCLA 10100,CRIT THINK & COM I,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
Indiana,Univ Of Notre Dame,ALHN 13950,HONORS SEMINAR,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
Indiana,Univ Of Notre Dame,ALHN 13951,HONORS SEMINAR,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
Indiana,Vincennes University,HUMN 210,INTRODUCTION TO HUMANITIES,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
Iowa,University Of Iowa,PSQF 1027,MINDFULNESS FOUNDATIONS,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
Maryland,Goucher College,FYS 100W,FYSW: MINDFUL WRITING,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,4.0
Maryland,U. of  Maryland College Park,CPSP 118D,"SCIENCE, DISCOV & UNIVERSE",IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,1.0
Maryland,U. of  Maryland College Park,CPSP 119D,"SCI, DISC & UNIVERSE",IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,1.0
Maryland,Washington College,FYS 101,GENIUS: DECONSTRUCTING INT,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,4.0
Massachusetts,Babson College,AHS 1000,AHS NATURE & ENV,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,4.0
Massachusetts,Babson College,NST 1030,ELECTRONICS,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,4.0
Massachusetts,Berkshire Cmty Coll,HUM 121,INTRO TO THE HUMANITIES,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
Massachusetts,Berkshire Cmty Coll,HUM 127,QUEST FOR CERTAINTY: IMP SCI,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
Massachusetts,Boston Coll,HP 001,WESTERN CULTURAL TRAD I,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
Massachusetts,Boston Coll,HP 002,WESTERN CULTURAL TRAD II,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
Massachusetts,Boston Coll,HP 003,WESTERN CULTURAL TRAD III,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
Massachusetts,Boston Coll,HP 004,WESTERN CULTURAL TRAD IV,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
