School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
CHINA,Chinese Univ. of Hong Kong,MGNT 4010,BUSINESS POLICY AND STRATEGY,MGMT 4870,STRATEGY AND POLICY,3.0
CHINA,Chinese Univ. of Hong Kong,MGT 4010,BUSINESS POLICY AND STRATEGY,MGMT 4870,STRATEGY AND POLICY,3.0
DENMARK,Copenhagen Business School,BLC 3GSM,GLOBAL STRATEGIC MANAGEMENT,MGMT 4870,STRATEGY AND POLICY,4.0
DENMARK,Copenhagen Business School,HA E30,BUSINESS STRATEGY,MGMT 4870,STRATEGY AND POLICY,4.0
ITALY,Bocconi University,5084 5084,BUSINESS STRATEGY,MGMT 4870,STRATEGY AND POLICY,3.0
ITALY,Bocconi University,5292 5292,BUSINESS STRATEGY,MGMT 4870,STRATEGY AND POLICY,3.0
ITALY,Bocconi University,6295 6295,BUSINESS STRATEGY,MGMT 4870,STRATEGY AND POLICY,3.0
Massachusetts,Suffolk University,SIB 429H,STRATEGIC MANAGEMENT,MGMT 4870,STRATEGY AND POLICY,3.0
NETHERLANDS,Universiteit Maastricht,EBC 1017,STRATEGY,MGMT 4870,STRATEGY AND POLICY,3.0
New York,Clarkson University,OS 432,ORG POLICY AND STRATEGY,MGMT 4870,STRATEGY AND POLICY,3.0
New York,SUNY College Oswego,MGT 495,MGMT POLICY & SIMULATION,MGMT 4870,STRATEGY AND POLICY,3.0
SINGAPORE,Nanyang Tech. Univ.,AB 311,STRATEGIC MANAGEMENT,MGMT 4870,STRATEGY AND POLICY,4.0
SPAIN,ESADE,12B 85025,STRATEGIC MANAGEMENT,MGMT 4870,STRATEGY AND POLICY,3.0
SPAIN,ESADE,85025 85025,STRATEGIC MANAGEMENT,MGMT 4870,STRATEGY AND POLICY,3.0
SPAIN,ESADE,ESADE 45811,MANAGING SERVICES,MGMT 4870,STRATEGY AND POLICY,3.0
UNITED KINGDOM,University Sussex England,SUSSEX STRAT,STRATEGY,MGMT 4870,STRATEGY AND POLICY,3.0
