School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
California,Univ Calif Davis,PSYCH 162,PERSONALITY PSYCHOLOGY,PSYC 4400,PERSONALITY,4.0
Massachusetts,Simons Rock Clg Bard,PSYC 206,THEORIES OF PERSONALITY,PSYC 4400,PERSONALITY,3.0
New Jersey,Drew University,PSYC 107,THEORIES OF PERSONALITY,PSYC 4400,PERSONALITY,4.0
North Carolina,North Carolina St U,PSY 370,PERSONALITY,PSYC 4400,PERSONALITY,3.0
SINGAPORE,Nanyang Tech. Univ.,HP 2500,PERSONALITY AND INDIVID. DIFF.,PSYC 4400,PERSONALITY,3.0
