School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
CANADA,McGill University,FACC 100,INTRO TO THE ENG PROFESSION,ENGR 1010,PROFESSIONAL DEVELOPMENT I,1.0
CANADA,McGill University,FACC 100,INTRO TO THE ENG PROFESSION,ENGR 1010,PROFESSIONAL DEVELOPMENT I,1.0
Massachusetts,Northeastern University,GE 1002,INTENGRCOOP,ENGR 1010,PROFESSIONAL DEVELOPMENT I,1.0
New York,Broome Cmty Coll,"EGR 200
AND EGR 100
AND EGR 101","EGR ORIENT STUD SUC III
AND EGR ORIENTATION STUD. SUC I
AND EGR ORIENT STUD SUC II",ENGR 1010,PROFESSIONAL DEVELOPMENT I,1.0
New York,Dutchess Cmty Coll,PSY 134,GROUP DYNAMICS,ENGR 1010,PROFESSIONAL DEVELOPMENT I,1.0
New York,SUNY Binghamton,BE 210,ENGINEERING SKILLS,ENGR 1010,PROFESSIONAL DEVELOPMENT I,1.0
RUSSIAN FEDERATION,Mordovian State University,ENGR 26,PHILOSOPHICAL ENGR PROBLEMS,ENGR 1010,PROFESSIONAL DEVELOPMENT I,1.0
