School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
AUSTRALIA,University of Sydney,CHNG 1108,INTRO TO CHEMICAL ENGINEERING,CHME 1010,INTRO TO CHEMICAL ENGINEERING,1.0
Delaware,University of Delaware,CHEG 112,INTRO TO CHEMICAL ENGINEERING,CHME 1010,INTRO TO CHEMICAL ENGINEERING,1.0
Florida,Univ South Florida,ECH 3002,INTRODUCTION TO CHBME,CHME 1010,INTRO TO CHEMICAL ENGINEERING,1.0
Massachusetts,Mt Holyoke College,CHE 120,FUNDAMENTALS,"ENGR 1000
AND CHME 1010","GENERAL ENGINEERING ELECTIVE
AND INTRO TO CHEMICAL ENGINEERING","2.0
AND 1.0"
Massachusetts,Univ Mass at Amherst,ENGIN 110,INTRO CHEMICAL ENGIN,"CHME 1000
AND CHME 1010","CHEMICAL ENGINEERING ELECTIVE
AND INTRO TO CHEMICAL ENGINEERING","3.0
AND 1.0"
New Mexico,Univ Of New Mexico,CBE 101,INTRO CHEM & BIOL ENGINEERING,CHME 1010,INTRO TO CHEMICAL ENGINEERING,1.0
New York,Polytechnic Univ,CBE 1002,INTRO TO CHEM & BIOLOG ENGR,CHME 1010,INTRO TO CHEMICAL ENGINEERING,1.0
South Carolina,Clemson Univ,CHE 1300,INTRO TO CHEMICAL ENGINEERING,CHME 1010,INTRO TO CHEMICAL ENGINEERING,1.0
