School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
DENMARK,Technical Univ. of Denmark,41665 41665,PHYS. METALLURGY:DEFOR & REKRY,"MTLE 4250
OR MANE 4670","PROP OF ENGINEERING MATLS II
OR MECH BEHAVIOR OF MATERIALS","3.0
OR 3.0"
UNITED KINGDOM,Swansea University,EG 283,MECH PROPERTIES OF MATERIALS 2,MTLE 4250,PROP OF ENGINEERING MATLS II,3.0
