School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
California,Colleg of the  Canyons,ART 110,ART HIST: PALEO TO RENAISSANCE,ARTS 1000,ARTS ELECTIVE,3.0
California,Colleg of the  Canyons,CINEMA 120,FILM AESTHETICS,ARTS 1000,ARTS ELECTIVE,3.0
California,College of San Mateo,ART 101,ART & ARCH.: ANC WRLD-MED TIME,ARTS 1000,ARTS ELECTIVE,2.0
California,College of San Mateo,MUS 371,GUITAR I,ARTS 1000,ARTS ELECTIVE,1.0
California,De Anza College,ARTS 001B,ARCHITECT PAST & PRES,ARTS 1000,ARTS ELECTIVE,4.0
California,Diablo Valley Coll,MUSIC 117,HISTORY OF ROCK AND R&B,ARTS 1000,ARTS ELECTIVE,3.0
California,Diablo Valley Coll,MUSIC 124,INTRO TO MUSIC PRODUCTION,ARTS 1000,ARTS ELECTIVE,3.0
California,Diablo Valley Coll,MUSIC 151,BEGINNING PIANO I,ARTS 1000,ARTS ELECTIVE,1.0
California,East Los Angeles Col,THEATER 100,INTRO TO THE THEATER,ARTS 1000,ARTS ELECTIVE,3.0
California,Foothill Coll,MUS 082A,PRO TOOLS 101: INTRO PRO TOOLS,ARTS 1000,ARTS ELECTIVE,3.0
California,Foothill Coll,MUS 082B,PRO TOOLS 110:PRO TOOLS PROD I,ARTS 1000,ARTS ELECTIVE,3.0
California,Foothill Coll,PHOT 01LX,GEN. PHOTO. PROD. LAB,ARTS 1000,ARTS ELECTIVE,1.0
California,Glendale Cmty Coll,ART 101,SURVEY ART I,ARTS 1000,ARTS ELECTIVE,3.0
California,Golden West Coll,ART G100,INTRODUCTION TO ART,ARTS 1000,ARTS ELECTIVE,3.0
California,Golden West Coll,DANC G101,VIEWING DANCE,ARTS 1000,ARTS ELECTIVE,3.0
California,Golden West Coll,THEA G100,INTRODUCTION TO THE THEATER,ARTS 1000,ARTS ELECTIVE,3.0
California,Grossmont Cmty Coll,ART 100,ART APPRECIATION,ARTS 1000,ARTS ELECTIVE,3.0
California,Irvine Valley Coll,DNCE 77,DNCE HIST: 20TH CENT,ARTS 1000,ARTS ELECTIVE,3.0
California,Irvine Valley Coll,MUS 1,BASICS OF MUSIC,ARTS 1000,ARTS ELECTIVE,3.0
California,Los Angeles City Col,ART 101,SURVEY ART HIST I,ARTS 1000,ARTS ELECTIVE,3.0
California,Los Angeles City Col,ARTHIST 120,WESTERN ART HIST II,ARTS 1000,ARTS ELECTIVE,3.0
California,Los Angeles Pierce C,CINEMA 107,UNDERST. MOTION PICTURES,ARTS 1000,ARTS ELECTIVE,3.0
California,Los Angeles Pierce C,MUSIC 111,MUSIC APPREC 1,ARTS 1000,ARTS ELECTIVE,3.0
California,Mission College,MUSIC 017,MUSIC OF THE WORLD,ARTS 1000,ARTS ELECTIVE,3.0
California,Moorpark College,ART M10,ART APPRECIATION,ARTS 1000,ARTS ELECTIVE,3.0
California,Moorpark College,ART M43,BEGINNING PAINTING I,ARTS 1000,ARTS ELECTIVE,3.0
California,Moorpark College,ART M70,BEGINNING CERAMICS I,ARTS 1000,ARTS ELECTIVE,3.0
California,Napa Valley College,FILM 100,SURVEY & APPR FILM,ARTS 1000,ARTS ELECTIVE,3.0
California,Napa Valley College,MUSI 114,SURVEY HISTORY OF JAZZ,ARTS 1000,ARTS ELECTIVE,3.0
California,Pasadena City Coll,CINE 007B,CONTEMPORARY FILM HISTORY,ARTS 1000,ARTS ELECTIVE,3.0
California,Pasadena City Coll,THART 7B,CONTEMPORARY FILM HISTORY,ARTS 1000,ARTS ELECTIVE,3.0
California,Pitzer College,MS 080,VIDEP AND DIVERSITY,ARTS 1000,4,
California,Rio Hondo College,ART 105,SURVEY OF WESTERN ART,ARTS 1000,ARTS ELECTIVE,3.0
California,Riverside Cmty Coll,MUC 10,NORCO CHOIR,ARTS 1000,ARTS ELECTIVE,3.0
California,Riverside Cmty Coll,MUS 19,MUSIC APPRECIATION,ARTS 1000,ARTS ELECTIVE,3.0
California,Saddleback College,MUS 20,MUSIC APPRECIATION,ARTS 1000,ARTS ELECTIVE,3.0
California,San Diego City Coll,ARTF 100,ART ORIENTATION,ARTS 1000,ARTS ELECTIVE,3.0
California,San Diego City Coll,BLAS 110,AFRICAN AMERICAN ART,ARTS 1000,ARTS ELECTIVE,3.0
California,San Frncsco State Un,MUS 120,BASIC MUSIC I - GUITAR,ARTS 1000,ARTS ELECTIVE,3.0
California,San Frncsco State Un,MUS 121,BASIC MUSIC II - GUITAR,ARTS 1000,ARTS ELECTIVE,3.0
California,San Frncsco State Un,MUS 309,SING FOR SELF-EXPRESSION I,ARTS 1000,ARTS ELECTIVE,1.0
California,San Joaquin Delta Cl,DRAMA 038,ACTING FOR THE CAMERA,ARTS 1000,ARTS ELECTIVE,3.0
California,San Joaquin Delta Cl,MUSIC 004,EXPLORING MUSIC,ARTS 1000,ARTS ELECTIVE,3.0
California,San Jose City Coll,ART 092,ART HISTORY-RENAIS. TO PRESENT,ARTS 1000,ARTS ELECTIVE,3.0
California,Sierra College,THEA 0010A,ACTING I,ARTS 1000,ARTS ELECTIVE,3.0
California,Sierra College,THEA 0013,INTRODUCTION TO THEATRE,ARTS 1000,ARTS ELECTIVE,3.0
California,Southwestern College,ART 104,INTRODUCTION TO ART,ARTS 1000,ARTS ELECTIVE,3.0
California,Southwestern College,DANC 170,HIP HOP I,ARTS 1000,ARTS ELECTIVE,2.0
California,Southwestern College,DANC 171,HIP HOP II,ARTS 1000,ARTS ELECTIVE,2.0
California,Univ Calif San Diego,MUS 15,POPULAR MUSIC,ARTS 1000,ARTS ELECTIVE,4.0
California,Univ Calif San Diego,MUS 4,INTRO TO WESTERN MUSIC,ARTS 1000,ARTS ELECTIVE,4.0
California,Univ San Francisco,ART 100,ART APPRECIATION,ARTS 1000,ARTS ELECTIVE,4.0
California,Univ of California Los Angeles,FILM TV 122D,"FILM EDIT:OVERVIEW HIST,TECH",ARTS 1000,ARTS ELECTIVE,3.0
California,Univ of California Los Angeles,FILM TV 122M,FILM & TV DIRECTING,ARTS 1000,ARTS ELECTIVE,3.0
California,West Valley Coll,ART 001A,SURVEY WESTERN ART I,ARTS 1000,ARTS ELECTIVE,3.0
California,Woodbury University,GD 102,BEG. FIGURE DRAWING,ARTS 1000,ARTS ELECTIVE,3.0
California,Woodbury University,GD 104,DESIGN ELEMENTS,ARTS 1000,ARTS ELECTIVE,3.0
California,Woodbury University,GD 105,INTRO. COMP. GRAPHICS,ARTS 1000,ARTS ELECTIVE,3.0
California,Woodbury University,GD 240,PHOTOGRAPHY,ARTS 1000,ARTS ELECTIVE,3.0
Colorado,Mesa State College,DANC 115,DANCE APPRECIATION,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Centrl Conn St Univ,MUS 110,LISTENING TO CLASSICAL MUSIC,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Fairfield University,MU 0101,THE HISTORY OF JAZZ,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Fairfield University,TA 0010,INTRO TO PERFORMING ARTS,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Gateway Cmty-Tech Cl,ART E101,ART HISTORY I,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Gateway Cmty-Tech Cl,MUS I101,MUSIC HISTORY & APPR I,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Housatonic Community College,ART E101,ART HISTORY I,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Housatonic Community College,ART E111,DRAWING I,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Housatonic Community College,ART E121,TWO-DIMENSIONAL DESIGN,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Housatonic Community College,ART E206,FILM STUDY ONLINE,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Housatonic Community College,MUS E101,MUSIC HIS & APPRECIATION I,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Middlesex Cmty-Tech,ART F163,CERAMIC HANDBUILDING,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Naugatuck Valley CC,MUS H101,MUSIC HIS & APPRECIATION I,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Norwalk Community College,ART D100,ART APPRECIATION,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Norwalk Community College,ART D141,PHOTOGRAPHY I,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Norwalk Community College,ART D161,CERAMICS I,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Norwalk Community College,ART D250,DIGITAL PHOTOGRAPHY,ARTS 1000,ARTS ELECTIVE,3.0
Connecticut,Norwalk Community College,MUS D101,MUSIC HISTORY & APPRECIATION I,ARTS 1000,ARTS ELECTIVE,3.0
