School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
Massachusetts,Boston University,MS 101,US DEFENSE EST.,USAR 1010,FUND OF MILITARY SCI I,1.0
Missouri,Univ Missouri Columb,"MIL SCI 1100
AND MIL SCI 1110","FOUNDATIONS OF OFFICERSHIP
AND INTRO MILITARY SCI LAB I","USAR 0010
AND USAR 1010","FUNDAMENTALS OF MIL SCI LAB I
AND FUND OF MILITARY SCI I","0.0
AND 1.0"
New York,Rochester Inst of Technology,0640 201,INTRO MILITARY SCIENCE/PERSN,USAR 1010,FUND OF MILITARY SCI I,2.0
New York,SUNY Albany,RPAD 110,INTRO TO MILITARY LEADERSHIP I,USAR 1010,FUND OF MILITARY SCI I,1.0
New York,Siena College,MILS 100,FUND OF MILITARY SCIENCE I,USAR 1010,FUND OF MILITARY SCI I,1.0
New York,US Military Academy,MD 101,4TH CLASS MILITARY DEV I,USAR 1010,FUND OF MILITARY SCI I,1.0
New York,US Military Academy,MS 101,INTRODUCTION TO THE US ARMY,USAR 1010,FUND OF MILITARY SCI I,1.0
Vermont,Norwich University,MS 111,MILITARY SCIENCE I,USAR 1010,FUND OF MILITARY SCI I,1.0
