School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
AUSTRALIA,Queensland University of Tech.,CIVL 2130,"ENVIR ISSUES,MONITOR,ASSESS",ENVE 2110,INTRODUCTION TO ENV. ENGR.,3.0
AUSTRALIA,University of New South Wales,CVEN 3502,WATER & WASTEWATER ENGINEER,ENVE 2110,INTRODUCTION TO ENV. ENGR.,4.0
BRAZIL,Universidade de Fortaleza,T 557,BASSIC SANITATION I,ENVE 2110,INTRODUCTION TO ENV. ENGR.,4.0
Georgia,Univ Georgia Athens,ENVE 2610,INTRO ENVIRON ENG AND SUSTAIN,ENVE 2110,INTRODUCTION TO ENV. ENGR.,3.0
Massachusetts,Northeastern University,CIV U334,ENV. ENGINEERING 1,ENVE 2110,INTRODUCTION TO ENV. ENGR.,4.0
New York,Union College NY,ENS 100,INTRO TO ENVIRON STUDIES W/LAB,ENVE 2110,INTRODUCTION TO ENV. ENGR.,3.0
Pennsylvania,Lafayette College,CE 321,ENVIRONMENTAL ENGINEERING,ENVE 2110,INTRODUCTION TO ENV. ENGR.,4.0
Pennsylvania,Lehigh University,CEE 170,INTR TO ENVIRONMENTAL ENGINEER,ENVE 2110,INTRODUCTION TO ENV. ENGR.,4.0
