School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
CHINA,Shanghai U of Finance &Econ.,ECON 05,INTERNATIONAL ECONOMICS,ECON 4190,INTERNAT ECO AND GLOBALIZATION,3.0
California,Claremont Mckenna,ECON 140,INTERNATIONAL ECONOMICS,ECON 4190,INTERNATIONAL ECONOMICS,4.0
New Jersey,Rutgers Univ. New Brunswick,220 300,INTERNATIONAL ECONOMICS,ECON 4190,INTERNAT ECO AND GLOBALIZATION,3.0
New York,Eugene Lang College,NINT 5109,ECONOMICS IN INT'L AFFAIRS I,ECON 4190,INTERNAT ECO AND GLOBALIZATION,3.0
Virginia,College of William and Mary,ECON 375,INTRO INTERNATIONAL ECONOMICS,ECON 4190,INTERNAT ECO AND GLOBALIZATION,3.0
