School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
Maryland,Commun Coll of Baltimore Cnty,"ASTM 101
AND ASTM 102","ASTROMOMY
AND ASTROMONY LAB",ASTR 2120,EARTH AND SKY,4.0
New York,Dutchess Cmty Coll,AST 132,ASTRONOMY OF STARS & GALAXIES,ASTR 2120,EARTH AND SKY,4.0
New York,Suffolk Co Cc Ammrmn,AST 102,STARS + GALAXY,ASTR 2120,EARTH AND SKY,4.0
UNITED KINGDOM,University College London,PHAS 2117,PHYSICS OF THE SOLAR SYSTEM,ASTR 2120,EARTH AND SKY,4.0
