School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
District of Columbia,George Washington University,JAPA 250,GATEWAY TO ADV JAPANESE,LANG 2210,JAPANESE III,3.0
District of Columbia,George Washington University,JAPN 006,INTENSIVE INTERMED JAPANESE,LANG 2210,JAPANESE III,4.0
Georgia,Spelman College,SFLJ 201,INTERMEDIATE JAPANESE I,LANG 2210,JAPANESE III,4.0
Indiana,Indiana-Purdue Univ,EALC-J 202,SECOND YEAR JAPANESE 2,LANG 2210,JAPANESE III,3.0
New Jersey,Rowan University,JAPA 08201,INTERMEDIATE JAPANESE I,LANG 2210,JAPANESE III,3.0
Wyoming,University of Wyoming,JAPN 2030,2ND YEAR JAPANESE I,LANG 2210,JAPANESE III,4.0
