School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
New Mexico,Univ Of New Mexico,AFAS 250,EVOL USAF A/S POWER,USAF 2030,AIR AND SPACE STUDIES 200A,1.0
New York,Rochester Inst of Technology,AERO 201,HISTORY OF AIR POWER,USAF 2030,AIR AND SPACE STUDIES 200A,1.0
