School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
New York,Broome Cmty Coll,CIV 113,ENGINEERING DRAWING I CAD,"ENGR 1000
AND CIVL 1200","GENERAL ENGINEERING ELECTIVE
AND ENG GRAPHICS FOR CIVIL ENG","1.0
AND 1.0"
New York,Rochester Inst of Technology,CVET 150,COMP AIDED DESIGN & DRAFTING,CIVL 1200,ENG GRAPHICS FOR CIVIL ENG,1.0
New York,SUNY Buffalo,CIE 177LLB,INTRO TO CIVIL ENG CAD,"ENGR 1000
AND CIVL 1200","GENERAL ENGINEERING ELECTIVE
AND ENG GRAPHICS FOR CIVIL ENG","1.0
AND 1.0"
