School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
AUSTRALIA,Queensland University of Tech.,CAB 301,ALGORITHMS AND COMPLEXITY,CSCI 2300,INTRODUCTION TO ALGORITHMS,4.0
AUSTRALIA,University of New South Wales,COMP 3121,ALGORITHMS & PROG TECH,CSCI 2300,INTRODUCTION TO ALGORITHMS,4.0
CHINA,Xi'an Jiaotong-Liverpool Univ.,INT 102,ALGORITHMIC FOUND & PROB SOLVI,CSCI 2300,INTRODUCTION TO ALGORITHMS,4.0
California,Colleg of the  Canyons,"CMPSCI 111L
AND CMPSCI 111","INTRO TO ALGORITHMS/PROG LAB
AND INTRO ALGORITHMS AND PROG",CSCI 2300,INTRODUCTION TO ALGORITHMS,4.0
HONG KONG,Hong Kong Univ. of Sci & Tech.,COMP 3711,DES. & ANALYSIS OF ALGORITHMS,CSCI 2300,INTRODUCTION TO ALGORITHMS,3.0
MALAYSIA,Multimedia University,DCS 5065,DATA STRUCTURE & ALGORITHMS,CSCI 2300,DATA STRUCT & ALGORITHMS,3.0
Massachusetts,Boston University,CS 330,INTR ALGORITHMS,CSCI 2300,INTRODUCTION TO ALGORITHMS,4.0
Massachusetts,Northeastern University,"CS U216
AND CS U215","LAB CS U215
AND ALG&DS: ENG",CSCI 2300,INTRODUCTION TO ALGORITHMS,4.0
Massachusetts,Univ Mass Lowell,COMP 4040,ANALYSIS OF ALGORITHMS,CSCI 2300,INTRODUCTION TO ALGORITHMS,3.0
Massachusetts,Worcester Polytechnic,CS 2223,ALGORITHMS,CSCI 2300,INTRODUCTION TO ALGORITHMS,4.0
New Hampshire,U New Hmpshr Manches,CS 515,DATA STRUCTURES,CSCI 2300,DATA STRUCT & ALGORITHMS,4.0
New Jersey,Coll Of New Jersey,CSC 335,ANALYSIS OF ALGORITHMS,CSCI 2300,INTRODUCTION TO ALGORITHMS,4.0
New York,Alfred University,"CSCI 305
AND CSCI 206","THEORY OF COMPUTATION
AND ALGORITHM DESIGN",CSCI 2300,INTRODUCTION TO ALGORITHMS,4.0
New York,Ithaca College,COMP 31100,ALGOR & DATA STRUCTURES,CSCI 2300,INTRODUCTION TO ALGORITHMS,4.0
New York,Rochester Inst of Technology,"MATH 190
AND CSCI 261","DISCRETE MATH FOR COMPUTING
AND ANALYSIS OF ALGORITHMS","CSCI 1000
AND CSCI 2300","COMPUTER SCIENCE ELECTIVE
AND INTRODUCTION TO ALGORITHMS","2.0
AND 4.0"
New York,SUNY Albany,CSI 403,ALGO & DATA STRUCTURES,CSCI 2300,INTRODUCTION TO ALGORITHMS,3.0
New York,SUNY Buffalo,CSE 250,DATA STRUCTURES AND ALGORITHMS,CSCI 2300,DATA STRUCT & ALGORITHMS,4.0
New York,St John Fisher Coll,CSCI 231,DATA STRUCTURES & ALGORITHMS,CSCI 2300,DATA STRUCT & ALGORITHMS,3.0
New York,The City College of New York,CSC 22000,ALGORITHMS,CSCI 2300,INTRODUCTION TO ALGORITHMS,3.0
Pennsylvania,Shippensburg Univ Pa,CSC 310,DESIGN & ANALY ALGOR,CSCI 2300,DATA STRUCT & ALGORITHMS,4.0
Pennsylvania,Villanova University,CSC 1700,ANALYSIS OF ALGORITHMS,CSCI 2300,INTRODUCTION TO ALGORITHMS,3.0
Rhode Island,Roger Williams Univ,"COMSC 340
AND COMSC 230","ANALYSIS OF ALGORITHMS
AND PRIN OF PRGM LANGUAGES",CSCI 2300,INTRODUCTION TO ALGORITHMS,4.0
SINGAPORE,Nanyang Tech. Univ.,CZ 2001,ALGORITHMS,CSCI 2300,INTRODUCTION TO ALGORITHMS,3.0
UNITED KINGDOM,Swansea University,CS 132,ALGORITHMS AND COMPUTATIONS,CSCI 2300,DATA STRUCT & ALGORITHMS,4.0
